,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22
2006-02-13,3.982479327705954e-05,2.8922999391730212e-05,3.9909707280098475e-05,0.89,0.0,3.37,2.0000000000000018,-0.012094823415578104,3.000000000000025,-0.9999999999999787,-0.9999999999999787,0.9999999999999787,-2.0000000000000018,0.0,-0.1,0.03,-3.0,0.0,0.037296037296037365,-0.001258389261745041,-8.500510030606812e-05,-0.0009166953133952216,-0.0005464752347360546
2006-02-14,3.513074269315554e-05,4.158122105511962e-05,4.54324803029817e-05,0.89,0.0,3.36,-1.000000000000023,-0.02693437806072474,0.0,3.000000000000025,4.0000000000000036,4.0000000000000036,-2.9999999999999805,-2.0000000000000018,-0.07,0.07,4.000000000000001,3.0,-0.08239700374531833,-0.0008399832003358476,-0.0017002465357476293,-0.005447872462438386,6.213341286409602e-05
2006-02-15,2.6619812792926954e-05,4.2654907985153585e-05,4.5569534130511315e-05,0.89,0.0,3.32,-4.0000000000000036,-0.03355141754739133,-0.9999999999999787,-1.0000000000000675,-0.9999999999999787,-1.9999999999999574,0.0,0.0,-0.1,0.06,-1.0000000000000009,-3.0,0.004897959183673528,-0.0009247583018076044,0.004257855743847294,0.003344288762036518,4.970364203416011e-05
2006-02-16,2.5636903979595115e-05,3.714485998931408e-05,4.729289249318807e-05,0.88,-1.0000000000000009,3.29,-2.9999999999999805,0.017358097552508278,0.0,-0.9999999999999787,-2.000000000000046,-0.9999999999999787,4.0000000000000036,1.000000000000023,-0.1,0.04,-1.9999999999999998,0.0,-0.0674248578391552,-0.00016829350387070896,-0.00016959213092526682,-0.002700994195735884,0.00016152880804165548
2006-02-17,3.2291383884494776e-05,3.2903307766920686e-05,4.608188216302311e-05,0.88,0.0,3.3,0.9999999999999787,0.01962122504692032,-1.0000000000000675,-4.0000000000000036,-4.999999999999982,-6.00000000000005,4.0000000000000036,1.9999999999999574,-0.12,0.0,-4.0,-1.9999999999999991,0.04616724738675959,0.0020198619760984915,0.004410143329658389,0.002823556528754212,-1.2423286207652318e-05
2006-02-21,3.2326343996298964e-05,3.5494953296832284e-05,2.9128509162088515e-05,0.88,0.0,3.29,-0.9999999999999787,0.011986442919732276,1.499999999999968,1.9999999999999574,1.5000000000000568,1.0000000000000675,0.9999999999999787,1.000000000000023,-0.14,0.01,0.5,-1.0000000000000009,0.016380016380016293,0.00025191031992610746,0.0017700606877950609,0.0012625538020085703,-4.969623178308069e-05
2006-02-22,2.497230565361308e-05,2.6818055866026486e-05,3.1239216313867463e-05,0.88,0.0,3.31,2.0000000000000018,-0.03561509557261888,0.0,-1.9999999999999574,-4.0000000000000036,-4.999999999999982,2.0000000000000018,-0.9999999999999787,-0.15,-0.04,-5.0,-0.9999999999999981,-0.04270749395648665,-0.0005876427132305295,-0.002860748843079408,-0.0012609617699317344,0.00014909610486424363
2006-02-23,3.258147150137658e-05,2.6612563389347624e-05,3.224538019036886e-05,0.87,-1.0000000000000009,3.27,-4.0000000000000036,-0.016940538709130926,2.000000000000046,5.999999999999961,2.999999999999936,2.999999999999936,2.0000000000000018,0.9999999999999787,-0.16,-0.03,1.0000000000000002,-1.0000000000000009,-0.0008417508417509767,0.0015119697606047477,-0.012741540798244966,0.005566714490674363,-0.00024845646421589596
2006-02-24,2.144388285331346e-05,2.539773978164798e-05,3.191875447358561e-05,0.88,1.0000000000000009,3.28,0.9999999999999787,0.059107358262967535,0.9999999999999787,0.9999999999999787,2.000000000000046,0.9999999999999787,4.0000000000000036,3.000000000000025,-0.16,-0.02,0.9999999999999999,0.0,-0.034540859309182714,-0.003438731862786204,-0.0011111111111110628,-0.004223262184682164,-0.0005591659728866327
2006-02-27,2.2616454613529284e-05,2.5644258353892554e-05,3.0269832352765418e-05,0.87,-1.0000000000000009,3.28,0.0,-0.007321835340058591,1.9999999999999574,2.000000000000046,0.9999999999999787,3.000000000000025,0.0,-1.000000000000023,-0.15,-0.03,-0.9999999999999999,1.0000000000000009,0.011343804537521818,-0.001851540144756747,-0.00770086420809446,-0.0022352132049519025,-0.000149194350507309
